loc,total,male,female
전국,52739009 ,26360035 ,26378974 
서울,9736027 ,4721977 ,5014050 
부산,3396109 ,1663619 ,1732490 
대구,2412642 ,1189901 ,1222741 
인천,3014739 ,1513277 ,1501462 
광주,1462545 ,724178 ,738367 
대전,1469543 ,732593 ,736950 
울산,1138419 ,586031 ,552388 
세종,376779 ,188619 ,188160 
경기,13925862 ,7038296 ,6887566 
강원,1555876 ,783743 ,772133 
충북,1633472 ,832743 ,800729 
충남,2181835 ,1120429 ,1061406 
전북,1817186 ,905672 ,911514 
전남,1865459 ,943018 ,922441 
경북,2677709 ,1355128 ,1322581 
경남,3377331 ,1709989 ,1667342 
제주,697476 ,350822 ,346654 
