class_cd,school,class_std_cnt,loc,school_type,teaching_type
6OL,ANKYI,20,Urban,Non-public,Standard
ZNS,ANKYI,21,Urban,Non-public,Standard
2B1,CCAAW,18,Suburban,Non-public,Experimental
EPS,CCAAW,20,Suburban,Non-public,Experimental
IQN,CCAAW,15,Suburban,Non-public,Experimental
PGK,CCAAW,21,Suburban,Non-public,Standard
UHU,CCAAW,16,Suburban,Non-public,Experimental
UWK,CCAAW,19,Suburban,Non-public,Standard
A33,CIMBB,19,Urban,Non-public,Standard
EID,CIMBB,21,Urban,Non-public,Standard
HUJ,CIMBB,17,Urban,Non-public,Experimental
PC6,CIMBB,17,Urban,Non-public,Standard
1Q1,CUQAM,28,Urban,Public,Standard
BFY,CUQAM,27,Urban,Public,Standard
OMI,CUQAM,28,Urban,Public,Standard
X6Z,CUQAM,24,Urban,Public,Experimental
2AP,DNQDD,27,Suburban,Public,Standard
PW5,DNQDD,20,Suburban,Public,Experimental
ROP,DNQDD,28,Suburban,Public,Experimental
ST7,DNQDD,20,Suburban,Public,Standard
XXJ,DNQDD,27,Suburban,Public,Standard
197,FBUMG,14,Rural,Non-public,Experimental
5LQ,FBUMG,18,Rural,Non-public,Experimental
JGD,FBUMG,14,Rural,Non-public,Experimental
HCB,GJJHK,22,Suburban,Public,Standard
NOR,GJJHK,27,Suburban,Public,Experimental
X78,GJJHK,21,Suburban,Public,Standard
YUC,GJJHK,21,Suburban,Public,Standard
ZDT,GJJHK,27,Suburban,Public,Standard
ENO,GOKXL,22,Rural,Public,Experimental
TSA,GOKXL,23,Rural,Public,Experimental
VA6,GOKXL,19,Rural,Public,Standard
18K,GOOBU,31,Urban,Public,Standard
CXC,GOOBU,24,Urban,Public,Standard
HKF,GOOBU,28,Urban,Public,Standard
PBA,GOOBU,24,Urban,Public,Standard
U6J,GOOBU,25,Urban,Public,Standard
W8A,GOOBU,26,Urban,Public,Experimental
05H,IDGFP,22,Urban,Non-public,Standard
98D,IDGFP,21,Urban,Non-public,Experimental
G2L,IDGFP,17,Urban,Non-public,Standard
P2A,IDGFP,17,Urban,Non-public,Experimental
XZM,IDGFP,17,Urban,Non-public,Standard
1VD,KFZMY,27,Urban,Non-public,Experimental
21Q,KFZMY,25,Urban,Non-public,Standard
2BR,KZKKE,20,Rural,Public,Standard
3D0,KZKKE,22,Rural,Public,Standard
5JK,KZKKE,24,Rural,Public,Standard
O6A,KZKKE,22,Rural,Public,Standard
QTU,KZKKE,23,Rural,Public,Standard
AJ1,LAYPA,21,Rural,Public,Standard
J8J,LAYPA,19,Rural,Public,Standard
MDS,,18,Rural,Non-public,Standard
MDE,,10,Rural,Non-public,Experimental
RA5,LAYPA,17,Rural,Public,Experimental
5SZ,OJOBU,17,Rural,Public,Experimental
6U9,OJOBU,22,Rural,Public,Standard
6PP,,,,,
4SZ,,,,,
5SD,,,,,
FS3,OJOBU,19,Rural,Public,Standard
XJ8,OJOBU,23,Rural,Public,Standard
0N7,QOQTS,28,Urban,Public,Experimental
3XJ,QOQTS,24,Urban,Public,Standard
RK7,QOQTS,22,Urban,Public,Standard
SUR,QOQTS,28,Urban,Public,Standard
X2O,QOQTS,25,Urban,Public,Experimental
XZ4,QOQTS,22,Urban,Public,Standard
1SZ,UAGPU,22,Suburban,Public,Standard
62L,UAGPU,23,Suburban,Public,Standard
NWZ,UAGPU,21,Suburban,Public,Standard
S98,UAGPU,21,Suburban,Public,Standard
08N,UKPGS,21,Suburban,Public,Standard
9AW,UKPGS,25,Suburban,Public,Standard
IPU,UKPGS,19,Suburban,Public,Experimental
KXB,UKPGS,18,Suburban,Public,Experimental
PGH,UKPGS,23,Suburban,Public,Experimental
XXE,UKPGS,22,Suburban,Public,Standard
6C1,UUUQX,16,Suburban,Non-public,Standard
AE1,UUUQX,17,Suburban,Non-public,Experimental
H7S,UUUQX,16,Suburban,Non-public,Experimental
P8I,UUUQX,20,Suburban,Non-public,Standard
SSP,UUUQX,15,Suburban,Non-public,Standard
CD8,VHDHF,20,Rural,Non-public,Experimental
J6X,VHDHF,16,Rural,Non-public,Standard
KR1,VHDHF,15,Rural,Non-public,Experimental
341,VKWQH,18,Rural,Public,Standard
D33,VKWQH,21,Rural,Public,Standard
DFQ,VKWQH,19,Rural,Public,Experimental
GYM,VKWQH,20,Rural,Public,Standard
IEM,VKWQH,22,Rural,Public,Experimental
7BL,VVTVA,29,Urban,Public,Standard
A93,VVTVA,30,Urban,Public,Experimental
TB5,VVTVA,25,Urban,Public,Standard
YTB,VVTVA,30,Urban,Public,Experimental
1UU,ZMNYA,24,Suburban,Public,Experimental
4NN,ZMNYA,22,Suburban,Public,Standard
V77,ZMNYA,23,Suburban,Public,Experimental
CII,ZOWMK,27,Urban,Public,Standard
Q0E,ZOWMK,30,Urban,Public,Experimental
QA2,ZOWMK,30,Urban,Public,Standard
ZBH,ZOWMK,30,Urban,Public,Standard
